codigo,descricao,infracao,,,,,,,,,,,,,,,,,
32.3.4.1.1.d.a,"Os produtos químicos que impliquem riscos à segurança e saúde do trabalhador, têm uma ficha descritiva contendo informações sobre condições e local de estocagem?",3,,,,,,,,,,,,,,,,,
32.3.4.1.1.d.b,"Os produtos químicos, inclusive intermediários que impliquem riscos à segurança e saúde do trabalhador, têm uma ficha descritiva contendo informações sobre condições e local de estocagem?",3,,,,,,,,,,,,,,,,,
32.3.4.1.1.d.c,"Os resíduos químicos que impliquem riscos à segurança e saúde do trabalhador, têm uma ficha descritiva contendo informações sobre condições e local de estocagem?",3,,,,,,,,,,,,,,,,,
32.3.4.1.1.e.a,"Os produtos químicos que impliquem riscos à segurança e saúde do trabalhador, têm uma ficha descritiva informações sobre os procedimentos em situações de emergência?",3,,,,,,,,,,,,,,,,,
32.3.4.1.1.e.b,"Os produtos químicos, inclusive intermediários e resíduos que impliquem riscos à segurança e saúde do trabalhador, têm uma ficha descritiva informações sobre os procedimentos em situações de emergência?",3,,,,,,,,,,,,,,,,,
32.3.4.1.1.e.c,"Os resíduos químicos que impliquem riscos à segurança e saúde do trabalhador, têm uma ficha descritiva informações sobre os procedimentos em situações de emergência",3,,,,,,,,,,,,,,,,,
32.3.4.1.2 ,É mantida uma cópia da ficha descritiva nos locais onde o produto é utilizado?,3,,,,,,,,,,,,,,,,,
32.3.5 ,,,,,,,,,,,,,,,,,,,
32.3.5.1 ,"Na elaboração e implementação do PCMSO, são consideradas as informações contidas nas fichas descritivas citadas no subitem 32.3.4.1.1?",2,,,,,,,,,,,,,,,,,
32.3.6 ,,,,,,,,,,,,,,,,,,,
32.3.6.1 ,A empresa capacita inicialmente os trabalhadores envolvidos para a utilização segura de produtos químicos?,3,,,,,,,,,,,,,,,,,
32.3.6.1.a,"A empresa capacita de forma continuada, os trabalhadores envolvidos para a utilização segura de produtos químicos?",3,,,,,,,,,,,,,,,,,
32.3.6.1.1 ,,,,,,,,,,,,,,,,,,,
32.3.6.1.1.a.a,"O plano de capacitação contém a apresentação das fichas descritivas citadas no subitem 32.3.4.1.1, com explicação das informações nelas contidas?",3,,,,,,,,,,,,,,,,,
32.3.6.1.1.b.a,O plano de capacitação contém os procedimentos de segurança relativos à utilização?,3,,,,,,,,,,,,,,,,,
32.3.6.1.1.c.a,A capacitação contém os procedimentos a serem adotados em caso de incidentes?,3,,,,,,,,,,,,,,,,,
32.3.6.1.1.c.b,A capacitação contém os procedimentos a serem adotados em caso de acidentes?,3,,,,,,,,,,,,,,,,,
32.3.6.1.1.c.c,A capacitação contém os procedimentos a serem adotados em caso de situações de emergência?,3,,,,,,,,,,,,,,,,,
32.3.7 ,,,,,,,,,,,,,,,,,,,
32.3.7.1 ,A empresa destina local apropriado para a manipulação de produtos químicos que impliquem riscos à segurança e saúde do trabalhador?,4,,,,,,,,,,,,,,,,,
32.3.7.1.a,A empresa destina local apropriado para o fracionamento de produtos químicos que impliquem riscos à segurança e saúde do trabalhador?,4,,,,,,,,,,,,,,,,,
32.3.7.1.1 ,A empresa veda a realização destes procedimentos em qualquer local que não o apropriado para este fim?,3,,,,,,,,,,,,,,,,,
32.3.7.1.2 ,A empresa faz exceção à preparação e associação de medicamentos para administração imediata aos pacientes?,,,,,,,,,,,,,,,,,,
32.3.7.1.3 ,,,,,,,,,,,,,,,,,,,
32.3.2.1.3.a.a,"O local destinado à manipulação ou fracionamento de produtos químicos contem  sinalização gráfica de fácil visualização para identificação do ambiente, respeitando o disposto na NR-26?",2,,,,,,,,,,,,,,,,,
32.3.2.1.3.b.a, O local destinado à manipulação ou fracionamento de produtos químicos dispõe de equipamentos que garantam a concentração dos produtos químicos no ar abaixo dos limites de tolerância estabelecidos nas NR-09 e NR-15 e observando-se os níveis de ação previstos na NR-09?,3,,,,,,,,,,,,,,,,,
32.3.2.1.3.c.a,"O local destinado à manipulação ou fracionamento de produtos químicos dispõe de equipamentos que garantam a exaustão dos produtos químicos de forma a não potencializar a exposição de qualquer trabalhador, envolvido ou não, no processo de trabalho, não devendo ser utilizado o equipamento tipo coifa?",3,,,,,,,,,,,,,,,,,
32.3.2.1.3.d.a,O local destinado à manipulação ou fracionamento de produtos químicos dispõe de chuveiro o qual deverá ser acionado e higienizado semanalmente?,3,,,,,,,,,,,,,,,,,
32.3.2.1.3.d.b,"O local destinado à manipulação ou fracionamento de produtos químicos dispõe de lava-olhos, o qual deverá ser acionado e higienizado semanalmente?",3,,,,,,,,,,,,,,,,,
32.3.2.1.3.e.a,"O local destinado à manipulação ou fracionamento de produtos químicos dispõe de equipamentos de proteção individual, adequados aos riscos, à disposição dos trabalhadores?",3,,,,,,,,,,,,,,,,,
32.3.2.1.3.f.a,O local destinado à manipulação ou fracionamento de produtos químicos dispõe de sistema adequado de descarte?,3,,,,,,,,,,,,,,,,,
32.3.7.2 ,A manipulação dos produtos químicos é feito por trabalhador qualificado?,3,,,,,,,,,,,,,,,,,
32.3.7.2.a,O fracionamento dos produtos químicos é feito por trabalhador qualificado?,3,,,,,,,,,,,,,,,,,
32.3.7.3 ,O transporte de produtos químicos é realizado considerando os riscos à segurança e saúde do trabalhador?,4,,,,,,,,,,,,,,,,,
32.3.7.3.a,O transporte de produtos químicos é realizado considerando os riscos ao meio ambiente?,4,,,,,,,,,,,,,,,,,
32.3.7.4 ,"O estabelecimento realiza, ou que pretende realizar, esterilização por gás óxido de etileno conforme disposições da Portaria Interministerial nº 482/MS/MTE de 16.04.1999?",4,,,,,,,,,,,,,,,,,
32.3.7.4.a,"O estabelecimento realiza, ou que pretende realizar reesterilização por gás óxido de etileno, conforme disposições da Portaria Interministerial nº 482/MS/MTE de 16.04.1999?",4,,,,,,,,,,,,,,,,,
32.3.7.4.b,"O estabelecimento realiza, ou que pretende realizar reprocessamento por gás óxido de etileno, conforme disposições da Portaria Interministerial nº 482/MS/MTE de 16.04.1999?",4,,,,,,,,,,,,,,,,,
32.3.7.5 ,"Nos locais onde se utilizam e armazenam produtos inflamáveis, o sistema de prevenção de incêndio prevê medidas especiais de segurança?",4,,,,,,,,,,,,,,,,,
32.3.7.5.a,"Nos locais onde se utilizam e armazenam produtos inflamáveis, o sistema de prevenção de incêndio prevê procedimentos de emergência?",4,,,,,,,,,,,,,,,,,
32.3.7.6 ,As áreas de armazenamento de produtos químicos são ventiladas?,4,,,,,,,,,,,,,,,,,
32.3.7.6.a,As áreas de armazenamento de produtos químicos são sinalizadas?,4,,,,,,,,,,,,,,,,,
32.3.7.6.1 ,São previstas áreas de armazenamento próprias para produtos químicos incompatíveis?,3,,,,,,,,,,,,,,,,,
32.3.8 ,,,,,,,,,,,,,,,,,,,
32.3.8.1 ,,4,,,,,,,,,,,,,,,,,
32.3.8.1.a.a,"a)  Na movimentação de gases, as recomendações do fabricante, quando compatíveis com as disposições da legislação são observadas?",4,,,,,,,,,,,,,,,,,
32.3.8.1.b.a,"b) No transporte de gases, as recomendações do fabricante, quando compatíveis com as disposições da legislação são observadas?",4,,,,,,,,,,,,,,,,,
32.3.8.1.c.a,"c) No manuseio de gases, as recomendações do fabricante, quando compatíveis com as disposições da legislação são observadas?",4,,,,,,,,,,,,,,,,,
32.3.8.1.c.a,"Na utilização de gases, as recomendações do fabricante, quando compatíveis com as disposições da legislação são observadas?",4,,,,,,,,,,,,,,,,,
32.3.8.1.c.b,"Na manutenção dos equipamentos, as recomendações do fabricante, quando compatíveis com as disposições da legislação são observadas?",4,,,,,,,,,,,,,,,,,
32.3.8.1.1 ,,3,,,,,,,,,,,,,,,,,
32.3.8.1.1.a.a,"a) As recomendações do fabricante, em português, são mantidas no local de trabalho à disposição dos trabalhadores?",3,,,,,,,,,,,,,,,,,
32.3.8.1.1.b.a,"b) As recomendações do fabricante, em português, são mantidas no local de trabalho à da inspeção do trabalho?",3,,,,,,,,,,,,,,,,,
32.3.8.2 ,,,,,,,,,,,,,,,,,,,
32.3.8.2.a.a,A empresa veda a utilização de equipamentos em que se constate vazamento de gás?,4,,,,,,,,,,,,,,,,,
32.3.8.2.b.a,A empresa veda que equipamentos a pressões sejam submetidos superiores àquelas para as quais foram projetados?,4,,,,,,,,,,,,,,,,,
32.3.8.2.c.a,A empresa veda a utilização de cilindros que não tenham a identificação do gás e a válvula de segurança,4,,,,,,,,,,,,,,,,,
32.3.8.2.d.a,A empresa veda a movimentação dos cilindros sem a utilização dos equipamentos de proteção individual adequados?,4,,,,,,,,,,,,,,,,,
32.3.8.2.e.a,A empresa veda que cilindros sejam submetidos à temperaturas extremas?,4,,,,,,,,,,,,,,,,,
32.3.8.2.f.a,A empresa veda a utilização do oxigênio e do ar comprimido para fins diversos aos que se destinam?,4,,,,,,,,,,,,,,,,,
32.3.8.2.g.a,A empresa veda o contato de óleos com gases oxidantes?,4,,,,,,,,,,,,,,,,,
32.3.8.2.g.b,A empresa veda o contato de graxas com gases oxidantes?,4,,,,,,,,,,,,,,,,,
32.3.8.2.g.c,A empresa veda o contato de hidrocarbonetos com gases oxidantes?,4,,,,,,,,,,,,,,,,,
32.3.8.2.g.d,A empresa veda o contato de materiais orgânicos com gases oxidantes?,4,,,,,,,,,,,,,,,,,
32.3.8.2.h.a,A empresa veda a utilização de cilindros de oxigênio sem a válvula de retenção ou o dispositivo apropriado para impedir o fluxo reverso?,4,,,,,,,,,,,,,,,,,
32.3.8.2.i.a,"A empresa veda a transferência de gases de um cilindro para outro, independentemente da capacidade dos cilindros?",4,,,,,,,,,,,,,,,,,
32.3.8.2.j.a,"A empresa veda o transporte de cilindros soltos, em posição horizontal e sem capacetes?",4,,,,,,,,,,,,,,,,,
32.3.8.3,"Os cilindros contendo gases inflamáveis, à exemplo do hidrogênio são armazenados a uma distância mínima de oito metros daqueles contendo gases oxidantes, tais como oxigênio e óxido nitroso? ",4,,,,,,,,,,,,,,,,,
32.3.8.3.a,"Os cilindros contendo gases inflamáveis, à exemplo do acetileno são armazenados a uma distância mínima de oito metros daqueles contendo gases oxidantes, tais como oxigênio e óxido nitroso?",4,,,,,,,,,,,,,,,,,
32.3.8.3.b,"Na hipótese dos cilindros contendo gases inflamáveis, à exemplo do hidrogênio não serem armazenados a uma distância mínima de oito metros daqueles contendo gases oxidantes, tais como oxigênio e óxido nitroso, eles são armazenados através de barreiras vedadas e resistentes ao fogo?",4,,,,,,,,,,,,,,,,,
32.3.8.3.c,"Na hipótese dos cilindros contendo gases inflamáveis, à exemplo do acetileno não serem armazenados a uma distância mínima de oito metros daqueles contendo gases oxidantes, tais como oxigênio e óxido nitroso, eles são armazenados através de barreiras vedadas e resistentes ao fogo?",4,,,,,,,,,,,,,,,,,
32.3.8.4 ,,,,,,,,,,,,,,,,,,2,s
32.3.8.4.a.a," A empresa possuí sistema centralizado de gases medicinais onde são fixadas placas, em local visível, com caracteres indeléveis e legíveis?",2,,,,,,,,,,,,,,,,,
32.3.8.4.a.b,Estas placas nominam asas pessoas autorizadas a terem acesso ao local e treinadas na operação e manutenção do sistema?,2,,,,,,,,,,,,,,,,,
32.3.8.4.b.a,Estas placas informam os procedimentos a serem adotados em caso de emergência?,2,,,,,,,,,,,,,,,,,
32.3.8.4.c.a,Estas placas informar o número de telefone para uso em caso de emergência.,2,,,,,,,,,,,,,,,,,
32.3.8.4.d.a,Estas placas informar o número de telefone para uso em caso de emergência.,2,,,,,,,,,,,,,,,,,
32.3.9,,,,,,,,,,,,,,,,,,,
32.3.9.1,A empresa considera medicamentos e drogas de risco aquelas que possam causar genotoxicidade séria e seletiva sobre órgãos e sistemas?,,,,,,,,,,,,,,,,,,
32.3.9.1.a,A empresa considera medicamentos e drogas de risco aquelas que possam causar carcinogenicidade séria e seletiva sobre órgãos e sistemas?,,,,,,,,,,,,,,,,,,
32.3.9.1.b,A empresa considera medicamentos e drogas de risco aquelas que possam causar teratogenicidade séria e seletiva sobre órgãos e sistemas?,,,,,,,,,,,,,,,,,,
32.3.9.1.c,A empresa considera medicamentos e drogas de risco aquelas que possam causar toxicidade séria e seletiva sobre órgãos e sistemas?,,,,,,,,,,,,,,,,,,
32.3.9.2 ,Consta no PPRA a descrição dos riscos inerentes às atividades de recebimento dos medicamentos e das drogas de risco?,2,,,,,,,,,,,,,,,,,
32.3.9.2.a,"Consta no PPRA a descrição dos riscos inerentes às atividades de armazenamento, dos medicamentos e das drogas de risco?",2,,,,,,,,,,,,,,,,,
32.3.9.2.b,Consta no PPRA a descrição dos riscos inerentes às atividades de preparo dos medicamentos e das drogas de risco?,2,,,,,,,,,,,,,,,,,
32.3.9.2.c,Consta no PPRA a descrição dos riscos inerentes às atividades de distribuição dos medicamentos e das drogas de risco?,2,,,,,,,,,,,,,,,,,
32.3.9.2.d,Consta no PPRA a descrição dos riscos inerentes às atividades de administração dos medicamentos e das drogas de risco?,2,,,,,,,,,,,,,,,,,
32.3.9.3 ,,,,,,,,,,,,,,,,,,,
32.3.9.3.1 ,"A empresa submete à manutenção corretiva e preventiva todos os equipamentos utilizados para a administração dos gases anestésicos, dando-se especial atenção aos pontos de vazamentos, buscando sua eliminação?",4,,,,,,,,,,,,,,,,,
32.3.9.3.1.a,"A empresa submete à manutenção corretiva e preventiva todos os equipamentos utilizados para a administração dos vapores anestésicos, dando-se especial atenção aos pontos de vazamentos, buscando sua eliminação?",4,,,,,,,,,,,,,,,,,
32.3.9.3.2 ,A manutenção corretiva e preventiva contempla a verificação dos cilindros de gases para ventilação pulmonar?,3,,,,,,,,,,,,,,,,,
32.3.9.3.2.a,A manutenção corretiva e preventiva contempla a verificação dos conectores de gases para ventilação pulmonar?,3,,,,,,,,,,,,,,,,,
32.3.9.3.2.b,A manutenção corretiva e preventiva contempla a verificação das mangueiras de gases para ventilação pulmonar?,3,,,,,,,,,,,,,,,,,
32.3.9.3.2.c,A manutenção corretiva e preventiva contempla a verificação dos balões de gases para ventilação pulmonar?,3,,,,,,,,,,,,,,,,,
32.3.9.3.2.d,A manutenção corretiva e preventiva contempla a verificação das traquéias de gases para ventilação pulmonar?,3,,,,,,,,,,,,,,,,,
32.3.9.3.2.e,A manutenção corretiva e preventiva contempla a verificação das  válvulas de gases para ventilação pulmonar?,3,,,,,,,,,,,,,,,,,
32.3.9.3.2.f,A manutenção corretiva e preventiva contempla a verificação dos aparelhos de anestesia  para ventilação pulmonar?,3,,,,,,,,,,,,,,,,,
32.3.9.3.2.g,A manutenção corretiva e preventiva contempla a verificação das máscaras faciais para ventilação pulmonar?,3,,,,,,,,,,,,,,,,,
32.3.9.3.2.1 ,A empresa possuí um documento próprio destinado ao programa de manutenção preventiva e corretiva que fica à disposição dos trabalhadores diretamente envolvidos?,2,,,,,,,,,,,,,,,,,
32.3.9.3.2.1.a,A empresa possuí um documento próprio destinado ao relatório de manutenção preventiva e corretiva que fica à disposição dos trabalhadores diretamente envolvidos?,2,,,,,,,,,,,,,,,,,
32.3.9.3.2.1.b,Tanto o programa quanto ao relatório de manutenção preventiva e corretiva ficam à disposição da fiscalização do trabalho?,2,,,,,,,,,,,,,,,,,
32.3.9.3.3 ,"São dotados de sistemas de ventilação os locais de trabalho onde são utilizados gases anestésicos de modo a sempre manter a concentração ambiental sob controle, conforme previsto na legislação vigente?",3,,,,,,,,,,,,,,,,,
32.3.9.3.3.a,"São dotados de sistemas de ventilação os locais de trabalho onde são utilizados vapores anestésicos de modo a sempre manter a concentração ambiental sob controle, conforme previsto na legislação vigente?",3,,,,,,,,,,,,,,,,,
32.3.9.3.4 ,"A empresa somente libera a trabalhadora gestante para o trabalho em áreas com possibilidade de exposição a gases anestésicos após autorização por escrito do médico responsável pelo PCMSO, considerando as informações contidas no PPRA?",4,,,,,,,,,,,,,,,,,
32.3.9.3.4.a,"A empresa somente libera a trabalhadora gestante para o trabalho em áreas com possibilidade de exposição a vapores anestésicos após autorização por escrito do médico responsável pelo PCMSO, considerando as informações contidas no PPRA?",4,,,,,,,,,,,,,,,,,
32.3.9.4,,,,,,,,,,,,,,,,,,,
32.3.9.4.1 ,,4,,,,,,,,,,,,,,,,,
32.3.9.4.1.a.a,Os quimioterápicos antineoplásicos são preparados em área exclusiva dotada de vestiário de barreira com dupla câmara e com acesso restrito aos profissionais diretamente envolvidos?,3,,,,,,,,,,,,,,,,,
32.3.9.4.1.b.a,"Os quimioterápicos antineoplásicos são preparados em sala de preparo exclusiva com acesso restrito aos profissionais diretamente envolvidos 
b) sala de preparo dos quimioterápicos?
",3,,,,,,,,,,,,,,,,,
32.3.9.4.1.c.a,"Os quimioterápicos antineoplásicos são preparados em área exclusiva dotada de local destinado para as atividades administrativas, com acesso restrito aos profissionais diretamente envolvidos?",3,,,,,,,,,,,,,,,,,
32.3.9.4.1.d.a,"Os quimioterápicos antineoplásicos são preparados em área exclusiva dotada de local de armazenamento exclusivo para  estocagem, com acesso restrito aos profissionais diretamente envolvidos ",3,,,,,,,,,,,,,,,,,
32.3.9.4.2 ,,,,,,,,,,,,,,,,,,,
32.3.9.4.2.a.a,O vestiário dispõe de pia e material para lavar e secar as mãos?,3,,,,,,,,,,,,,,,,,
32.3.9.4.2.b.a,"O vestiário dispõe de lava olhos, o qual pode ser substituído por uma ducha tipo higiênica?",3,,,,,,,,,,,,,,,,,
32.3.9.4.2.c.a,O vestiário dispõe de chuveiro de emergência?,3,,,,,,,,,,,,,,,,,
32.3.9.4.2.d.a,O vestiário dispõe de equipamentos de proteção individual?,3,,,,,,,,,,,,,,,,,
32.3.9.4.2.d.b,O vestiário dispõe de vestimentas para uso e reposição?,3,,,,,,,,,,,,,,,,,
32.3.9.4.2.e.a,O vestiário dispõe de armários para guarda de pertences?,3,,,,,,,,,,,,,,,,,
32.3.9.4.2.f.a,O vestiário dispõe de recipientes para descarte de vestimentas usadas?,3,,,,,,,,,,,,,,,,,
32.3.9.4.3 ,"São elaborados manuais de procedimentos relativos a limpeza de todas as áreas, incluindo superfícies, instalações, equipamentos, mobiliário, vestimentas, EPI e materiais?",3,,,,,,,,,,,,,,,,,
32.3.9.4.3.a,"São elaborados manuais de procedimentos relativos a descontaminação de todas as áreas, incluindo superfícies, instalações, equipamentos, mobiliário, vestimentas, EPI e materiais?",3,,,,,,,,,,,,,,,,,
32.3.9.4.3.b,"São elaborados manuais de procedimentos relativos a desinfecção de todas as áreas, incluindo superfícies, instalações, equipamentos, mobiliário, vestimentas, EPI e materiais?",3,,,,,,,,,,,,,,,,,
32.3.9.4.3.1 ,Os manuais estão disponíveis a todos os trabalhadores?,3,,,,,,,,,,,,,,,,,
32.3.9.4.3.1.a,Os manuais estão disponíveis à fiscalização do trabalho?,3,,,,,,,,,,,,,,,,,
32.3.9.4.4 ,"Todos os profissionais diretamente envolvidos lavam adequadamente as mãos, antes e após a retirada das luvas",3,,,,,,,,,,,,,,,,,
32.3.9.4.5 ,4.5 A sala de preparo é dotada de Cabine de Segurança Biológica Classe II B2,4,,,,,,,,,,,,,,,,,
32.3.9.4.5.a.a,Na instalação da sala de preparo dotada de Cabine de Segurança Biológica Classe II foi previsto suprimento de ar necessário ao seu funcionamento?,3,,,,,,,,,,,,,,,,,
32.3.9.4.5.b.a,"A sala de preparo é dotada de Cabine de Segurança Biológica Classe II B2 e na sua instalação é previsto local e posicionamento, de forma a evitar a formação de turbulência aérea?",3,,,,,,,,,,,,,,,,,
32.3.9.4.5.1 ,,,,,,,,,,,,,,,,,,,
32.3.9.4.5.1.a.a,A cabine fica em funcionamento no mínimo por 30 minutos antes do início do trabalho de manipulação e permanecer ligada por 30 minutos após a conclusão do trabalho?,3,,,,,,,,,,,,,,,,,
32.3.9.4.5.1.b.a,"A cabine é submetida periodicamente a manutenções de acordo com um programa escrito, que obedeça às especificações do fabricante, e que deve estar à disposição da inspeção do trabalho?",4,,,,,,,,,,,,,,,,,
32.3.9.4.5.1.b.b,"A cabine é submetida periodicamente a trocas de filtros absolutos e pré-filtros de acordo com um programa escrito, que obedeça às especificações do fabricante, e que deve estar à disposição da inspeção do trabalho?",4,,,,,,,,,,,,,,,,,
32.3.9.4.5.1.c.a,"A cabine possui relatório das manutenções, que deve ser mantido a disposição da fiscalização do trabalho?",3,,,,,,,,,,,,,,,,,
32.3.9.4.5.1.d.a,A cabine tem etiquetas afixadas em locais visíveis com as datas da última e da próxima manutenção?,2,,,,,,,,,,,,,,,,,
32.3.9.4.5.1.e.a,"A cabine é submetida a processo de limpeza nas paredes laterais internas e superfície de trabalho, antes do início das atividades?",4,,,,,,,,,,,,,,,,,
32.3.9.4.5.1.e.b,"A cabine é submetida a processo de descontaminação e desinfecção, nas paredes laterais internas e superfície de trabalho, antes do início das atividades?",4,,,,,,,,,,,,,,,,,
32.3.9.4.5.1.e.c,"A cabine é submetida a processo de desinfecção, nas paredes laterais internas e superfície de trabalho, antes do início das atividades?",4,,,,,,,,,,,,,,,,,
32.3.9.4.5.1.f.a,A cabine tem a sua superfície de trabalho submetida aos procedimentos de limpeza ao final das atividades?,4,,,,,,,,,,,,,,,,,
32.3.9.4.5.1.f.b,A cabine tem a sua superfície de trabalho submetida aos procedimentos de limpeza no caso de ocorrência de acidentes com derramamentos e respingos?,4,,,,,,,,,,,,,,,,,
32.3.9.4.6 ,,,,,,,,,,,,,,,,,,,
32.3.9.4.6.a.a,Quando os quimioterápicos antineoplásicos estão sendo manipulados a empresa proibe os empregados de fumarem?,4,,,,,,,,,,,,,,,,,
32.3.9.4.6.a.b,Quando os quimioterápicos antineoplásicos estão sendo manipulados a empresa proibe os empregados de comerem?,4,,,,,,,,,,,,,,,,,
32.3.9.4.6.a.c,Quando os quimioterápicos antineoplásicos estão sendo manipulados a empresa proibe os empregados de beberem,4,,,,,,,,,,,,,,,,,
32.3.9.4.6.a.d,Quando os quimioterápicos antineoplásicos estão sendo manipulados a empresa proibe os empregados de portarem adornos?,4,,,,,,,,,,,,,,,,,
32.3.9.4.6.a.e,Quando os quimioterápicos antineoplásicos estão sendo manipulados a empresa proibe os empregados de maquiarem-se?,4,,,,,,,,,,,,,,,,,
32.3.9.4.6.b.a,Com relação aos quimioterápicos antineoplásicos a empresa:afasta das atividades as trabalhadoras gestantes e nutrizes?,4,,,,,,,,,,,,,,,,,
32.3.9.4.6.c.a,"Com relação aos quimioterápicos antineoplásicos, a empresa proibe que os trabalhadores expostos realizem atividades com possibilidade de exposição aos agentes ionizantes?",4,,,,,,,,,,,,,,,,,
32.3.9.4.6.d.a,"Com relação aos quimioterápicos antineoplásicos, a empresa fornece aos trabalhadores avental confeccionado de material impermeável, quando do seu preparo e administração?",4,,,,,,,,,,,,,,,,,
32.3.9.4.6.d.b,"Com relação aos quimioterápicos antineoplásicos, a empresa fornece aos trabalhadores avental confeccionado com frente resistente e fechado nas costas quando do seu preparo e administração?",4,,,,,,,,,,,,,,,,,
32.3.9.4.6.d.c,"Com relação aos quimioterápicos antineoplásicos, a empresa fornece aos trabalhadores avental confeccionado de manga comprida e punho justo, quando do seu preparo e administração?",4,,,,,,,,,,,,,,,,,
32.3.9.4.6.e.a,"Com relação aos quimioterápicos antineoplásicos, a empresa fornece aos trabalhadores dispositivos de segurança que minimizem a geração de aerossóis durante a manipulação e administração?",4,,,,,,,,,,,,,,,,,
32.3.9.4.6.e.b,"Com relação aos quimioterápicos antineoplásicos, a empresa fornece aos trabalhadores dispositivos de segurança que minimizem a ocorrência de acidentes durante a manipulação e administração?",4,,,,,,,,,,,,,,,,,
32.3.9.4.6.f.a,"Com relação aos quimioterápicos antineoplásicos, a empresa fornece aos trabalhadores dispositivos de segurança para a prevenção de acidentes durante o transporte?",4,,,,,,,,,,,,,,,,,
32.3.9.4.7 ,,,,,,,,,,,,,,,,,,,
32.3.9.4.7.a.a,"Além do cumprimento do disposto na legislação vigente, os Equipamentos de Proteção Individual - EPI são avaliados diariamente quanto ao estado de conservação e segurança?",3,,,,,,,,,,,,,,,,,
32.3.9.4.7.b.a,"Além do cumprimento do disposto na legislação vigente, os Equipamentos de Proteção Individual – EPI estão armazenados em locais de fácil acesso?",3,,,,,,,,,,,,,,,,,
32.3.9.4.7.b.b,"Além do cumprimento do disposto na legislação vigente, os Equipamentos de Proteção Individual – EPI estão em quantidade suficiente para imediata substituição, segundo as exigências do procedimento ou em caso de contaminação ou dano?",3,,,,,,,,,,,,,,,,,
32.3.9.4.8 ,,,,,,,,,,,,,,,,,,,
32.3.9.4.8.a.a,Com relação aos quimioterápicos antineoplásicos a empresa veda o início de qualquer atividade na falta de EPI?,4,,,,,,,,,,,,,,,,,
32.3.9.4.8.b.a,Com relação aos quimioterápicos antineoplásicos a empresa veda a continuidade das atividades de manipulação quando ocorrer qualquer interrupção do funcionamento da cabine de segurança biológica?,4,,,,,,,,,,,,,,,,,
32.3.9.4.9 ,,,,,,,,,,,,,,,,,,,
32.3.9.4.9.1 ,,,,,,,,,,,,,,,,,,,
32.3.9.4.9.1.a.a,"A empresa considera, em relação aos quimioterápicos antineoplásicos, ACIDENTE AMBIENTAL, a contaminação do ambiente devido à saída do medicamento do envase no qual esteja acondicionado por derramamento?",,,,,,,,,,,,,,,,,,
32.3.9.4.9.1.a.b,"A empresa considera, em relação aos quimioterápicos antineoplásicos, ACIDENTE AMBIENTAL, a contaminação do ambiente devido à saída do medicamento do envase no qual esteja acondicionado por aerodispersóides sólidos ou líquidos?",,,,,,,,,,,,,,,,,,
32.3.9.4.9.1.b.a,"A empresa considera, em relação aos quimioterápicos antineoplásicos, ACIDENTE PESSOAL, a contaminação gerada por contato dos medicamentos da terapia quimioterápica antineoplásica em qualquer das etapas do processo?",,,,,,,,,,,,,,,,,,
32.3.9.4.9.1.b.b,"A empresa considera, em relação aos quimioterápicos antineoplásicos, ACIDENTE PESSOAL, a contaminação gerada por inalação dos medicamentos da terapia quimioterápica antineoplásica em qualquer das etapas do processo?",,,,,,,,,,,,,,,,,,
32.3.9.4.9.2 ,"As normas e os procedimentos, a serem adotados em caso de ocorrência de acidentes ambientais constam em manual disponível e de fácil acesso aos trabalhadores e à fiscalização do trabalho?",3,,,,,,,,,,,,,,,,,
32.3.9.4.9.2.a,"As normas e os procedimentos, a serem adotados em caso de ocorrência de acidentes pessoais, constam em manual disponível e de fácil acesso aos trabalhadores e à fiscalização do trabalho?",3,,,,,,,,,,,,,,,,,
32.3.9.4.9.3,Nas áreas de preparação é mantido um “Kit” de derramamento identificado e disponível?,4,,,,,,,,,,,,,,,,,
32.3.9.4.9.3.a,"Nas áreas de preparação, esse “Kit” de derramamento identificado contém. obrigatoriamente luvas de procedimento, avental impermeável, compressas absorventes, proteção respiratória, proteção ocular, sabão, recipiente identificado para recolhimento de resíduos?",4,,,,,,,,,,,,,,,,,
32.3.9.4.9.3.b,"Nas áreas de preparação, esse “Kit” de derramamento identificado contém a descrição do procedimento?",4,,,,,,,,,,,,,,,,,
32.3.9.4.9.3.c,Nas áreas de armazenamento e administração é mantido um “Kit” de derramamento identificado e disponível?,4,,,,,,,,,,,,,,,,,
32.3.9.4.9.3.d,"Nas áreas de armazenamento e administração esse“Kit” de derramamento identificado contém avental impermeável, compressas absorventes, proteção respiratória, proteção ocular, sabão, recipiente identificado para recolhimento de resíduo?",4,,,,,,,,,,,,,,,,,
32.3.9.4.9.3.e, Nas áreas de armazenamento e administração esse “Kit” de derramamento identificado e disponível contém a descrição do procedimento?,4,,,,,,,,,,,,,,,,,
32.3.9.4.9.3.f,Nas áreas de transporte é mantido um “Kit” de derramamento identificado e disponível?,4,,,,,,,,,,,,,,,,,
32.3.9.4.9.3.g,"Nas áreas de transporte esse “Kit” de derramamento identificado contém avental impermeável, compressas absorventes, proteção respiratória, proteção ocular, sabão, recipiente identificado para recolhimento de resíduo?",4,,,,,,,,,,,,,,,,,
32.3.9.4.9.3.h,Nas áreas de transporte esse “Kit” de derramamento identificado e disponível contém a descrição do procedimento?,4,,,,,,,,,,,,,,,,,
